id,craft_id,craft_name,category,region,raw_speech_input,line1_history_heritage,line2_originality_material,line3_utility_value,full_3line_description
hero_desc_0332,himroo_shawl,Aurangabad Himroo Weave,Textiles,Maharashtra,असली aurangabad himroo weave stole,"Brought to Daulatabad when Sultan Muhammad bin Tughlaq shifted his capital in the 14th century, Himroo emerged as an affordable, breathable royal alternative to pure silk kinkhwab.",Handwoven on complex multi-treadle draw looms using a unique extra-weft technique that interweaves fine lustrous silk yarn with soft breathable combed cotton warp.,"Featuring Ajanta cave-inspired floral arabesques and Persian medallions, this dual-faced fabric offers feather-soft warmth and aristocratic grace for evening social galas.","Brought to Daulatabad when Sultan Muhammad bin Tughlaq shifted his capital in the 14th century, Himroo emerged as an affordable, breathable royal alternative to pure silk kinkhwab.
Handwoven on complex multi-treadle draw looms using a unique extra-weft technique that interweaves fine lustrous silk yarn with soft breathable combed cotton warp.
Featuring Ajanta cave-inspired floral arabesques and Persian medallions, this dual-faced fabric offers feather-soft warmth and aristocratic grace for evening social galas."
hero_desc_0178,sujini_embroidery,Muzaffarpur Sujini Embroidery,Textiles,Bihar,हाथ का बना muzaffarpur sujini embroidery dupatta accent,"Originating in the 18th century as a rural maternal quilting tradition, Sujini evolved into a powerful textile medium for folk storytelling across Muzaffarpur.","Layered from repurposed soft muslin or tussar silk, meticulously quilted with thousands of fine running stitches using red and black cotton embroidery threads.","Lightweight, breathable, and deeply comforting against sensitive skin, this textured coverlet adds artisanal warmth as an all-season throw or conversational wall tapestry.","Originating in the 18th century as a rural maternal quilting tradition, Sujini evolved into a powerful textile medium for folk storytelling across Muzaffarpur.
Layered from repurposed soft muslin or tussar silk, meticulously quilted with thousands of fine running stitches using red and black cotton embroidery threads.
Lightweight, breathable, and deeply comforting against sensitive skin, this textured coverlet adds artisanal warmth as an all-season throw or conversational wall tapestry."
hero_desc_0286,longpi_black_pottery,Manipur Longpi Hamtei Pottery,Ceramics,Manipur,this is a manipur longpi hamtei pottery table planter,"Crafted exclusively by the Tangkhul Naga tribe of Longpi village for over a millennium, this ancient earthenware was once reserved for tribal royalty and warrior feasts.","Hand-molded entirely without a potter's wheel from ground black serpentinite rock and weathered clay, polished using broad leaves and wild tree bark, and open-pit fired.","Non-toxic, naturally matte black, and heat-retentive for hours, this exceptional stoneware cooks stews to perfection and provides high-end minimalist tabletop aesthetics.","Crafted exclusively by the Tangkhul Naga tribe of Longpi village for over a millennium, this ancient earthenware was once reserved for tribal royalty and warrior feasts.
Hand-molded entirely without a potter's wheel from ground black serpentinite rock and weathered clay, polished using broad leaves and wild tree bark, and open-pit fired.
Non-toxic, naturally matte black, and heat-retentive for hours, this exceptional stoneware cooks stews to perfection and provides high-end minimalist tabletop aesthetics."
hero_desc_0147,khurja_pottery,Khurja Glazed Ceramics,Ceramics,Uttar Pradesh,this is a khurja glazed ceramics decorative jug,"Initiated during the reign of Sultan Mohammad bin Tughlaq by immigrant potters, Khurja evolved over 600 years into India's premier ceramic town.","Wheel-thrown and slip-cast from refined ball clay, feldspar, and quartz, hand-painted with cobalt floral vines and high-fired at 1200 degrees Celsius with lead-free glazes.","Completely non-porous, microwave-safe, and chip-resistant, these vibrant dinnerware and garden pots marry historic Mughal aesthetics with rigorous modern kitchen utility.","Initiated during the reign of Sultan Mohammad bin Tughlaq by immigrant potters, Khurja evolved over 600 years into India's premier ceramic town.
Wheel-thrown and slip-cast from refined ball clay, feldspar, and quartz, hand-painted with cobalt floral vines and high-fired at 1200 degrees Celsius with lead-free glazes.
Completely non-porous, microwave-safe, and chip-resistant, these vibrant dinnerware and garden pots marry historic Mughal aesthetics with rigorous modern kitchen utility."
hero_desc_0326,sawantwadi_lacquer,Sawantwadi Lacquerware Ganjifa,Woodwork,Maharashtra,authentic sawantwadi lacquerware ganjifa candle stand,"Patronized in the 18th century by the Bhonsle dynasty of Sawantwadi, this courtly craft preserved the ancient circular Dashavatara playing card art of royal Maharashtra.","Hand-carved from seasoned Indian cork wood (pango), lacquered smoothly using natural resin washes, and miniature-painted with natural mineral watercolours.","Displaying intricate mythological portraits with a high-buff lacquer gloss that repels moisture, these pieces function as interactive art games or framed wall treasures.","Patronized in the 18th century by the Bhonsle dynasty of Sawantwadi, this courtly craft preserved the ancient circular Dashavatara playing card art of royal Maharashtra.
Hand-carved from seasoned Indian cork wood (pango), lacquered smoothly using natural resin washes, and miniature-painted with natural mineral watercolours.
Displaying intricate mythological portraits with a high-buff lacquer gloss that repels moisture, these pieces function as interactive art games or framed wall treasures."
hero_desc_0374,gadwal_saree,Gadwal Handloom Saree,Textiles,Telangana,authentic gadwal handloom saree bridal saree,"Cultivated under the royal patronage of the Gadwal Samsthanam since the 18th century, this textile marvel was designed to fold to the compactness of a matchbox.",Engineered with a lightweight pure cotton body seamlessly united to pure mulberry silk borders and pallu using the miraculous historic 'kupiadam' interlocked weft technique.,"Offering the breathable cooling comfort of crisp cotton across the body while flaunting heavy gold zari silk borders, it is the ultimate temple visit and wedding saree.","Cultivated under the royal patronage of the Gadwal Samsthanam since the 18th century, this textile marvel was designed to fold to the compactness of a matchbox.
Engineered with a lightweight pure cotton body seamlessly united to pure mulberry silk borders and pallu using the miraculous historic 'kupiadam' interlocked weft technique.
Offering the breathable cooling comfort of crisp cotton across the body while flaunting heavy gold zari silk borders, it is the ultimate temple visit and wedding saree."
hero_desc_0642,tikamgarh_bell_metal_alt,Authentic Tikamgarh Bell Metal Casting,Metalwork,Madhya Pradesh,this is a authentic tikamgarh bell metal casting dancing peacock,"Supported by the Bundela rulers of Orchha since the 17th century, Tikamgarh casting preserves pristine lost-wax metal artistry across the Bundelkhand plateau.","Molded using local beeswax and clay cores, poured with a resonant alloy of copper and tin (kansa), and finished with manual chisels without power tools.","Producing heavy, solid devotional sculptures with an enduring acoustic resonance and golden patina, these sacred idols serve as generational family heirlooms.","Supported by the Bundela rulers of Orchha since the 17th century, Tikamgarh casting preserves pristine lost-wax metal artistry across the Bundelkhand plateau.
Molded using local beeswax and clay cores, poured with a resonant alloy of copper and tin (kansa), and finished with manual chisels without power tools.
Producing heavy, solid devotional sculptures with an enduring acoustic resonance and golden patina, these sacred idols serve as generational family heirlooms."
hero_desc_0466,kashmir_papier_mache_alt,Authentic Kashmiri Papier-Mâché,Art,Jammu and Kashmir,हाथ का बना authentic kashmiri papier-mâché desk organizer,"Introduced in the 14th century by the Sufi saint Mir Sayyid Ali Hamadani and patronized by Sultan Zain-ul-Abidin, this craft transformed Persian artistic styles into a Himalayan art form.","Hand-molded from soaked recycled paper pulp and rice binder (sakhtsazi), coated in mineral base plaster, and hand-painted with pure gold leaf and squirrel-hair brushes (naqashi).","Protected by clear natural varnish for crack-free longevity, these vibrant floral vessels and boxes bring imperial Kashmiri charm to office desks and mantelpieces.","Introduced in the 14th century by the Sufi saint Mir Sayyid Ali Hamadani and patronized by Sultan Zain-ul-Abidin, this craft transformed Persian artistic styles into a Himalayan art form.
Hand-molded from soaked recycled paper pulp and rice binder (sakhtsazi), coated in mineral base plaster, and hand-painted with pure gold leaf and squirrel-hair brushes (naqashi).
Protected by clear natural varnish for crack-free longevity, these vibrant floral vessels and boxes bring imperial Kashmiri charm to office desks and mantelpieces."
hero_desc_0511,punjabi_jutti_alt,Authentic Patiala Punjabi Jutti,Footwear,Punjab,"handmade authentic patiala punjabi jutti, jutti","Favored by the royal aristocracy of Patiala and the Mughal nobility since the 16th century, the Punjabi jutti is a timeless cornerstone of northern celebratory dressing.","Crafted from vegetable-tanned buffalo leather, hand-stitched with heavy cotton twines, and lavishly embroidered with dabka, zari, and colored silk thread work.","Engineered with a symmetrical sole that contours naturally to the foot over time, this flat slip-on provides all-night festive comfort for weddings and celebratory dances.","Favored by the royal aristocracy of Patiala and the Mughal nobility since the 16th century, the Punjabi jutti is a timeless cornerstone of northern celebratory dressing.
Crafted from vegetable-tanned buffalo leather, hand-stitched with heavy cotton twines, and lavishly embroidered with dabka, zari, and colored silk thread work.
Engineered with a symmetrical sole that contours naturally to the foot over time, this flat slip-on provides all-night festive comfort for weddings and celebratory dances."
hero_desc_0872,aranmula_mirror_alt,Authentic Aranmula Kannadi Front-Surface Mirror,Metalwork,Kerala,authentic aranmula kannadi front-surface mirror hand mirror,"Guarded as a sacred metallurgical family secret since the 16th century in Aranmula village, this mirror was declared a primary royal insignia of Travancore kings.","Hand-cast from an enigmatic copper-tin bronze alloy without silvered glass, ground by hand on wooden planks with emery powder and velvet for weeks to reach specular reflection.","Providing an optically flawless front-surface reflection without secondary refraction distortions, this auspicious mirror is believed to bestow prosperity and ward off negative aura.","Guarded as a sacred metallurgical family secret since the 16th century in Aranmula village, this mirror was declared a primary royal insignia of Travancore kings.
Hand-cast from an enigmatic copper-tin bronze alloy without silvered glass, ground by hand on wooden planks with emery powder and velvet for weeks to reach specular reflection.
Providing an optically flawless front-surface reflection without secondary refraction distortions, this auspicious mirror is believed to bestow prosperity and ward off negative aura."
hero_desc_0294,mizo_puan,Mizo Puan Handloom Weave,Textiles,Mizoram,authentic mizo puan handloom weave table runner,"Intrinsically bound to Mizo heritage and matrimonial rituals, every distinct Puan weave encodes ancient tribal lineage, bravery, and geographic origin in its colors.","Tightly woven by tribal women on traditional back-strap loin looms using hand-carded cotton, dyed with deep natural plant roots into signature red, white, and black bands.","Densely woven and wind-resistant with a tactile ribbed texture, this wrap offers dependable outdoor warmth and commands admiration when styled as an artisanal skirt or throw.","Intrinsically bound to Mizo heritage and matrimonial rituals, every distinct Puan weave encodes ancient tribal lineage, bravery, and geographic origin in its colors.
Tightly woven by tribal women on traditional back-strap loin looms using hand-carded cotton, dyed with deep natural plant roots into signature red, white, and black bands.
Densely woven and wind-resistant with a tactile ribbed texture, this wrap offers dependable outdoor warmth and commands admiration when styled as an artisanal skirt or throw."
hero_desc_0539,thewa_art_alt,Authentic Pratapgarh Thewa Glasswork,Jewelry,Rajasthan,pure handloom authentic pratapgarh thewa glasswork choker center,"Invented in the 1770s by master goldsmith Nathuji Soni under the royal patronage of the Maharawat of Pratapgarh, Thewa is an closely guarded secret craft of Rajasthan.","Created by laser-fine hand-chiseled 23-karat pure gold foil fused seamlessly over treated, molten Belgian glass wafers through controlled charcoal heating.","Displaying intricate miniature court, hunting, and floral tableaus bathed in emerald and ruby glass hues, this pendant jewelry radiates regal luxury at milestone events.","Invented in the 1770s by master goldsmith Nathuji Soni under the royal patronage of the Maharawat of Pratapgarh, Thewa is an closely guarded secret craft of Rajasthan.
Created by laser-fine hand-chiseled 23-karat pure gold foil fused seamlessly over treated, molten Belgian glass wafers through controlled charcoal heating.
Displaying intricate miniature court, hunting, and floral tableaus bathed in emerald and ruby glass hues, this pendant jewelry radiates regal luxury at milestone events."
hero_desc_0641,tikamgarh_bell_metal_alt,Authentic Tikamgarh Bell Metal Casting,Metalwork,Madhya Pradesh,असली authentic tikamgarh bell metal casting radha krishna idol,"Supported by the Bundela rulers of Orchha since the 17th century, Tikamgarh casting preserves pristine lost-wax metal artistry across the Bundelkhand plateau.","Molded using local beeswax and clay cores, poured with a resonant alloy of copper and tin (kansa), and finished with manual chisels without power tools.","Producing heavy, solid devotional sculptures with an enduring acoustic resonance and golden patina, these sacred idols serve as generational family heirlooms.","Supported by the Bundela rulers of Orchha since the 17th century, Tikamgarh casting preserves pristine lost-wax metal artistry across the Bundelkhand plateau.
Molded using local beeswax and clay cores, poured with a resonant alloy of copper and tin (kansa), and finished with manual chisels without power tools.
Producing heavy, solid devotional sculptures with an enduring acoustic resonance and golden patina, these sacred idols serve as generational family heirlooms."
hero_desc_0119,patan_patola,Patan Double Ikat Patola,Textiles,Gujarat,patan double ikat patola silk panel,"Patronized in the 12th century by King Kumarpala of the Solanki dynasty, Patan Patola represents the zenith of mathematical precision in worldwide textile history.",Woven on sloping teakwood looms from 100% pure mulberry silk threads that are individually resist-dyed in both warp and weft before weaving begins.,"Completely identical on both front and reverse sides with unfading vegetable dyes, this indestructible royal silk endures for generations without losing its crisp geometric vibrancy.","Patronized in the 12th century by King Kumarpala of the Solanki dynasty, Patan Patola represents the zenith of mathematical precision in worldwide textile history.
Woven on sloping teakwood looms from 100% pure mulberry silk threads that are individually resist-dyed in both warp and weft before weaving begins.
Completely identical on both front and reverse sides with unfading vegetable dyes, this indestructible royal silk endures for generations without losing its crisp geometric vibrancy."
hero_desc_0624,sujini_embroidery_alt,Authentic Muzaffarpur Sujini Embroidery,Textiles,Bihar,असली authentic muzaffarpur sujini embroidery throw blanket,"Originating in the 18th century as a rural maternal quilting tradition, Sujini evolved into a powerful textile medium for folk storytelling across Muzaffarpur.","Layered from repurposed soft muslin or tussar silk, meticulously quilted with thousands of fine running stitches using red and black cotton embroidery threads.","Lightweight, breathable, and deeply comforting against sensitive skin, this textured coverlet adds artisanal warmth as an all-season throw or conversational wall tapestry.","Originating in the 18th century as a rural maternal quilting tradition, Sujini evolved into a powerful textile medium for folk storytelling across Muzaffarpur.
Layered from repurposed soft muslin or tussar silk, meticulously quilted with thousands of fine running stitches using red and black cotton embroidery threads.
Lightweight, breathable, and deeply comforting against sensitive skin, this textured coverlet adds artisanal warmth as an all-season throw or conversational wall tapestry."
hero_desc_0524,sanganeri_print_alt,Authentic Sanganeri Hand Block Print,Textiles,Rajasthan,pure handloom authentic sanganeri hand block print bedsheet set,"Flourishing along the Sanjharia river since the 16th-century Kachwaha Rajput era, Sanganer emerged as a royal center for the world's most delicate block printing.","Hand-stamped onto pure cambric cotton using hand-carved teakwood blocks dipped in natural river-rinsed dyes, characterized by distinct off-white backgrounds.","Featuring gossamer feather-light breathability and dainty botanical booti patterns, this summer textile maintains cooling comfort during humid and tropical climates.","Flourishing along the Sanjharia river since the 16th-century Kachwaha Rajput era, Sanganer emerged as a royal center for the world's most delicate block printing.
Hand-stamped onto pure cambric cotton using hand-carved teakwood blocks dipped in natural river-rinsed dyes, characterized by distinct off-white backgrounds.
Featuring gossamer feather-light breathability and dainty botanical booti patterns, this summer textile maintains cooling comfort during humid and tropical climates."
hero_desc_0112,patan_patola,Patan Double Ikat Patola,Textiles,Gujarat,pure handloom patan double ikat patola dupatta,"Patronized in the 12th century by King Kumarpala of the Solanki dynasty, Patan Patola represents the zenith of mathematical precision in worldwide textile history.",Woven on sloping teakwood looms from 100% pure mulberry silk threads that are individually resist-dyed in both warp and weft before weaving begins.,"Completely identical on both front and reverse sides with unfading vegetable dyes, this indestructible royal silk endures for generations without losing its crisp geometric vibrancy.","Patronized in the 12th century by King Kumarpala of the Solanki dynasty, Patan Patola represents the zenith of mathematical precision in worldwide textile history.
Woven on sloping teakwood looms from 100% pure mulberry silk threads that are individually resist-dyed in both warp and weft before weaving begins.
Completely identical on both front and reverse sides with unfading vegetable dyes, this indestructible royal silk endures for generations without losing its crisp geometric vibrancy."
hero_desc_0064,punjabi_jutti,Patiala Punjabi Jutti,Footwear,Punjab,असली patiala punjabi jutti tilla jutti,"Favored by the royal aristocracy of Patiala and the Mughal nobility since the 16th century, the Punjabi jutti is a timeless cornerstone of northern celebratory dressing.","Crafted from vegetable-tanned buffalo leather, hand-stitched with heavy cotton twines, and lavishly embroidered with dabka, zari, and colored silk thread work.","Engineered with a symmetrical sole that contours naturally to the foot over time, this flat slip-on provides all-night festive comfort for weddings and celebratory dances.","Favored by the royal aristocracy of Patiala and the Mughal nobility since the 16th century, the Punjabi jutti is a timeless cornerstone of northern celebratory dressing.
Crafted from vegetable-tanned buffalo leather, hand-stitched with heavy cotton twines, and lavishly embroidered with dabka, zari, and colored silk thread work.
Engineered with a symmetrical sole that contours naturally to the foot over time, this flat slip-on provides all-night festive comfort for weddings and celebratory dances."
hero_desc_0588,firozabad_glass_alt,Authentic Firozabad Blown Glassware,Ceramics,Uttar Pradesh,authentic authentic firozabad blown glassware perfume bottle,"Tracing its glassblowing origins to 16th-century Mughal royal ateliers, Firozabad developed into the celebrated glass craftsmanship capital of South Asia.","Mouth-blown and hand-shaped from pure silica sand and soda ash at 1400 degrees Celsius, finished with metallic oxides for jewel-toned translucency without industrial molds.","Featuring exceptional optical clarity, heat tolerance, and bright refraction, these handcrafted glasswares bring vintage bohemian color to banquet dining and living room decor.","Tracing its glassblowing origins to 16th-century Mughal royal ateliers, Firozabad developed into the celebrated glass craftsmanship capital of South Asia.
Mouth-blown and hand-shaped from pure silica sand and soda ash at 1400 degrees Celsius, finished with metallic oxides for jewel-toned translucency without industrial molds.
Featuring exceptional optical clarity, heat tolerance, and bright refraction, these handcrafted glasswares bring vintage bohemian color to banquet dining and living room decor."
hero_desc_0663,bastar_kosa_silk_alt,Authentic Champa Bastar Kosa Silk,Textiles,Chhattisgarh,pure authentic champa bastar kosa silk stole,"Gathered deep inside the sal forests of Chhattisgarh by tribal communities, Kosa silk weaving has anchored royal wedding trousseaus in central India for centuries.","Extracted from wild tropical silkworm cocoons (Antheraea pernyi), hand-reeled on earthen pots, and handwoven on pit looms using organic natural mordants.","Distinguished by its crisp texture, dull natural metallic gold sheen, and cooling breathability, this elite handloom fabric commands respect at formal symposiums and weddings.","Gathered deep inside the sal forests of Chhattisgarh by tribal communities, Kosa silk weaving has anchored royal wedding trousseaus in central India for centuries.
Extracted from wild tropical silkworm cocoons (Antheraea pernyi), hand-reeled on earthen pots, and handwoven on pit looms using organic natural mordants.
Distinguished by its crisp texture, dull natural metallic gold sheen, and cooling breathability, this elite handloom fabric commands respect at formal symposiums and weddings."
hero_desc_0893,bengal_sholapith_alt,Authentic Kumartuli Sholapith Floral Art,Art,West Bengal,pure authentic kumartuli sholapith floral art hanging floral chain,"Originating in ancient Bengal as sacred ritual adornments for deity idols, Sholapith artisans have sculpted divine wedding topors and Durga canopies for centuries.","Painstakingly cut using razor-fine blades from the soft white fibrous inner core of the wild marsh herb shola, assembled without artificial bleached chemicals.","Feather-light, snow-white, and completely biodegradable, these intricate floral garlands and crowns add ethereal spiritual beauty to festive home altars and wedding ceremonies.","Originating in ancient Bengal as sacred ritual adornments for deity idols, Sholapith artisans have sculpted divine wedding topors and Durga canopies for centuries.
Painstakingly cut using razor-fine blades from the soft white fibrous inner core of the wild marsh herb shola, assembled without artificial bleached chemicals.
Feather-light, snow-white, and completely biodegradable, these intricate floral garlands and crowns add ethereal spiritual beauty to festive home altars and wedding ceremonies."
